Country Name,Country Code,Series Name,Series Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Colombia,COL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,27.8,26.8,25.9,25.1,24.3,23.5,22.8,22.1,21.5,20.8,20.2,19.5,18.9,18.3,17.7,17.1,16.6,16,15.5,15,14.6,14.1,13.6,13.2,..
Colombia,COL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.68567310141027,1.67056321387481,1.43258364447433,1.46909037138943,1.45469157408658,1.38053819852315,1.35040432098527,1.33615511929106,1.35786825329582,1.33608324511565,1.35330057182951,1.35577986581937,1.40692567655896,1.4302551910933,1.53100732200803,1.52553228629889,1.67306542320275,1.69946558599221,1.7051528338186,1.7386593989486,1.55510616635784,1.6006506184645,..,..,..
Colombia,COL,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,8.7,9.1,9.8,10.6,11.2,11.4,11,11.3,12.2,13.1,12.1,10.1,8.1,7.1,6.5,6.8,7.1,7.9,8.8,..,..
Colombia,COL,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,10.501246,10.4454829999999,10.403808,10.360816,10.320069,10.283305,10.242297,10.205117,10.169838,10.136937,10.109483,10.074573,10.043072,10.0134919999999,9.9834261,9.95559309999999,..,..,..,..,..,..
Mexico,MEX,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,..,..,..,493.3996582,536.49951172,567.38885498,667.68884277,719.57452393,738.71514893,780.88769531,824.02886963,850.54614258,892.38903809,875.48480225,911.72601318,972.31774902,1009.29071045,1002.76757813,1047.35351563,1073.13183594,1076.30554199,1089.60949707,1110.94433594,..,..
Mexico,MEX,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,..,..,..,97,97,97,98,98,98,98,98,97,95,93,98,99,82,84,82,93,58,55,56,79,..
Mexico,MEX,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,39.30313174,39.51894969,39.73245707,39.9436859,40.15272989,40.35948897,40.5640574,40.76641554,40.96669575,41.16482643,41.36089371,41.55507773,41.74726437,41.93753836,42.12589627,42.31228861,42.49678317,42.67933349,42.84912192,42.93896105,43.02628491,..
Mexico,MEX,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,32.7,31.2,29.7,28.4,27.1,26,24.9,23.9,22.9,22.1,21.3,20.6,19.9,19.2,18.5,17.9,17.3,16.8,16.2,15.7,15.2,14.6,14.1,13.7,..
Mexico,MEX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.69121952489926,3.88438810887942,3.69770379538977,3.88756928789929,3.81622185820532,3.82299161357153,3.94835053048563,3.96297432479841,4.07895088239964,4.18100922223476,4.2356679441149,4.30816070189315,4.10585136636662,4.11015715509391,4.1571204846157,4.09902758114925,3.95414657649222,3.80806346471111,3.87819450978334,3.88580937201112,3.78121582762561,3.74147772536983,..,..,..
Mexico,MEX,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,3.3,3.7,4.3,4.6,4.4,4.1,4.1,4.5,4.8,5,4.9,4.8,4.3,4.4,5,5.8,6.1,6.2,7.2,..,..
Mexico,MEX,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,8.1815157,8.1091042,8.04638289999999,8.00508789999999,7.9783635,7.96676249999999,7.9384661,7.8895159,7.86269279999999,7.8812718,7.9263449,7.9596453,7.95157049999999,7.9232655,7.89522079999999,7.8687429,..,..,..,..,..,..
Nicaragua,NIC,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,..,..,..,145.81025696,158.24247742,166.89889526,182.37956238,193.73742676,211.17868042,228.29107666,265.8447876,284.86935425,293.63674927,306.94857788,317.59881592,331.58126831,352.1668396,394.20755005,421.55221558,458.30136108,500.53924561,500.90435791,474.51919556,..,..
Nicaragua,NIC,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,..,..,80,83,87,85,86,79,86,88,93,97,98,98,98,98,98,98,98,98,98,98,98,92,..
Nicaragua,NIC,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,47.84901946,47.94999232,48.05105255,48.15258869,48.25460174,48.35869699,48.48102539,48.60357996,49.63554407,50.65626404,51.66618504,52.66535414,53.65381695,54.63161559,55.08079619,55.16754537,55.25507211,55.31084506,55.37498401,55.44343691,55.51591693,..
Nicaragua,NIC,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,45.7,50.2,40.8,38.5,36.5,34.6,32.9,31.3,29.9,28.5,27.3,26.1,24.9,23.9,22.9,22,21.1,20.2,19.4,18.6,17.9,17.3,16.6,16,..
Nicaragua,NIC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.625562125568961,0.716810551451317,0.709270871547639,0.743690955968367,0.763793914020127,0.777878514535599,0.855990468839018,0.838780748304265,0.790631276784933,0.817954073783085,0.835410530036676,0.786951983224866,0.764071180105327,0.774374156301328,0.808058905291939,0.783949265611706,0.740623198957783,0.774899254957158,0.846826585662696,0.853430457314994,0.845752980926861,0.805815232908442,..,..,..
Nicaragua,NIC,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,27.5,25.2,25,24,23.3,22.2,21.6,21.2,20.9,20.1,19.2,17.8,18.1,18.7,19,18,17.6,18.2,19.3,..,..
Nicaragua,NIC,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,11.53167,11.460374,11.39087,11.321228,11.237703,11.162175,11.091676,11.0243059999999,10.975153,10.916797,10.874535,10.829309,10.787143,10.75,10.712084,10.669083,..,..,..,..,..,..
Brazil,BRA,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,..,..,..,755.17840576,791.76177979,832.12243652,797.09814453,848.67529297,883.00604248,960.44641113,1029.32397461,1066.5234375,1113.91650391,1136.12316895,1171.34875488,1164.03771973,1243.45043945,1319.8001709,1313.59729004,1307.14978027,1375.66247559,1438.76733398,1497.81469727,..,..
Brazil,BRA,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,6,13,84,94,91,92,97,96,98,99,99,96,99,96,98,96,96,96,96,89,93,93,72,77,..
Brazil,BRA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,75.99606802,76.56129687,77.04836801,77.32908456,77.60419859,77.87380706,78.1382912,78.39773752,78.65221598,78.90124496,79.14548167,79.38738202,79.62451905,80.41174261,81.19584995,81.97630358,82.69040002,83.52582053,84.2947419,85.06008273,85.76566655,..
Brazil,BRA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,42.2,39.6,37.1,34.7,32.5,30.4,28.4,26.5,24.8,23.2,21.8,20.6,19.5,18.6,17.9,17.2,16.7,16.3,15.9,16.7,15.4,15.2,14.9,14.7,..
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.6835811622297,1.71251622188884,1.74455845685071,1.78882884368111,1.80342619486481,1.76720718153163,1.70150864276186,1.77580703557726,1.77572199746423,1.77490938079997,1.84883593997795,1.9380268626479,1.80946064296739,2.03220381623177,2.11184451477929,2.26687811082304,2.40185952057599,2.49936201612059,2.34736573083425,2.14349752363003,2.16442150357383,2.04187419904738,..,..,..
Brazil,BRA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,10.7,9.3,7.9,6.8,6.5,6.2,5.6,5.1,4.4,3.9,3.4,3.1,2.8,2.6,2.5,2.5,2.5,2.5,2.5,..,..
Brazil,BRA,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,7.82591959999999,7.92955879999999,8.0230093,8.106431,8.1799908,8.24384399999999,8.29815669999999,8.343092,8.37881089999999,8.4054613,8.4232264,8.432251,8.43271159999999,8.42476459999999,8.40855789999999,8.3842697,..,..,..,..,..,..
Peru,PER,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,..,..,..,216.82949829,237.04524231,263.77532959,260.41156006,266.89074707,300.95953369,315.86846924,355.26745605,403.75073242,447.75610352,463.18875122,472.82217407,511.00228882,540.26904297,577.32281494,580.97637939,606.987854,624.01586914,690.15594482,711.62536621,..,..
Peru,PER,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,..,..,..,..,..,..,65,92,94,94,93,93,93,93,91,95,88,88,90,89,83,84,88,72,..
Peru,PER,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,44.9972141,45.3841427,45.76726041,46.14702447,46.52303997,46.89492675,47.26354115,47.62810079,47.93691463,48.22034026,48.50277767,48.78343428,49.0631062,49.34102056,49.61757585,49.89316912,50.16703266,50.43955682,50.71340601,50.9881507,51.26412978,..
Peru,PER,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,49.1,45.2,41.5,38.2,35.3,32.7,30.4,28.3,26.5,24.9,23.4,22,20.8,19.8,18.8,17.9,17.1,16.4,15.7,15,14.4,13.8,13.3,12.8,..
Peru,PER,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.10864494354578,1.03826983089531,1.10590051995347,1.07445427700074,0.983608184530567,1.01656900470404,0.984209645860984,1.13306342049185,1.12502126236357,1.10596894070558,1.2038943918851,1.3500303424221,1.44759100608374,1.56988088610595,1.66004233005428,1.63928370385257,1.66319685916424,1.75504643146319,1.76628469693498,1.82790966161974,1.71700440833488,1.69681922982601,..,..,..
Peru,PER,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,21.5,22.9,23.1,21.7,18.8,15.7,13.7,11.6,9.8,8.8,7.7,6.7,5.6,5.4,5.9,6.9,7.6,7.9,8.7,..,..
Peru,PER,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,10.13259,10.0492849999999,9.9769783,9.90399739999999,9.8450184,9.79692359999999,9.7434063,9.6979418,9.6529684,9.6124954,9.57691669999999,9.5420952,9.5036287,9.46674819999999,9.43402099999999,9.4036293,..,..,..,..,..,..
Guatemala,GTM,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,..,..,..,273.99972534,315.03134155,321.75152588,335.21850586,349.47802734,354.72064209,389.55108643,401.22015381,406.46798706,410.91308594,403.26455688,405.14837646,426.19485474,414.60040283,439.16339111,471.4163208,476.33374023,485.63900757,502.31750488,529.12036133,..,..
Guatemala,GTM,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,..,..,..,..,..,..,..,..,87,89,85,95,92,94,88,96,85,73,74,80,82,86,85,89,..
Guatemala,GTM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,46.77509848,47.26115909,47.74983319,48.23688795,48.7236897,49.21258378,49.70375209,50.19738679,50.69350739,51.19157326,51.69233774,52.19524981,52.70070458,53.21091049,53.72598527,54.24645598,54.7718367,55.03622869,55.30162493,55.56753171,55.83407651,..
Guatemala,GTM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,59,56.6,54.3,52.1,50.1,48.1,46.2,44.4,42.7,41,39.4,37.8,36.3,34.8,33.4,32,30.7,29.5,28.3,27.3,26.4,25.4,24.5,23.6,..
Guatemala,GTM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.607135726442995,0.750483310346576,0.724953006247504,0.812786389641685,0.82634429411792,0.861904464763913,0.848950177256609,0.847650879491012,0.889692632819834,0.87109002802473,0.920826915926573,0.818091228671856,0.84641708433957,0.802962926184845,0.808455591582559,0.821948834598323,0.864797688856427,0.911388475188935,1.04962807257902,1.10313002086849,1.02626785727828,1.11396927255543,..,..,..
Guatemala,GTM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,22.2,19.9,18.9,19.1,18.9,17.8,18.2,17.9,17.7,16.5,16.5,17,17.6,17.7,17.3,16.4,16.3,16,16.8,..,..
Guatemala,GTM,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,12.189318,12.068481,11.949814,11.846752,11.7392109999999,11.6491609999999,11.565004,11.4862769999999,11.41793,11.350877,11.2884499999999,11.222621,11.153724,11.08369,11.017704,10.957713,..,..,..,..,..,..
Costa Rica,CRI,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,..,..,..,516.6998291,529.14001465,579.78436279,615.13592529,617.95123291,656.06164551,744.17987061,822.88250732,925.68487549,959.57635498,1032.44262695,1100.19750977,1115.13464355,1152.79968262,1231.36047363,1297.52697754,1401.87182617,1439.77087402,1530.21887207,1636.18237305,..,..
Costa Rica,CRI,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,76,86,83,89,80,94,86,89,90,88,89,89,87,89,84,91,94,91,92,97,97,98,98,98,..
Costa Rica,CRI,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,76.28844358,76.65721493,77.00994797,77.34683338,77.6679332,77.97325789,78.26337941,78.53848039,78.79901226,79.04505144,79.27733218,79.49611379,79.70135769,79.89395464,80.07479465,80.24477499,80.40470786,80.53079246,80.52559024,80.52068236,80.51604686,..
Costa Rica,CRI,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,14.4,14.1,13.6,13.1,12.6,12.1,11.8,11.5,11.3,11.2,11.1,10.9,10.7,10.5,10.2,9.9,9.6,9.3,9.1,8.9,8.7,8.4,8.2,7.9,..
Costa Rica,CRI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.2073293766631,1.31970063300939,1.29715439328692,1.24925265668089,1.34355492735136,1.34603876884271,1.39287372182823,1.40586525089251,1.46307178805573,1.50963508483988,1.72545864279964,1.68491883374041,1.59265996112582,1.55329336424773,1.60368272896294,1.58916280556988,1.64061954686426,1.63281818579928,1.55534308826366,1.64920307568209,1.65254027561867,1.65218405330354,..,..,..
Costa Rica,CRI,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,4.7,5,5.2,5,4.4,3.9,3.8,3.9,4,3.8,3.8,3.8,4.1,4.3,4.1,3.6,3.1,3,3.1,..,..
Costa Rica,CRI,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,6.9990211,6.9113455,6.85465479999999,6.8257456,6.8214107,6.8384318,6.87359909999999,6.92371849999999,6.98557089999999,7.05592199999999,7.131598,7.20936679999999,7.28604129999999,7.358397,7.4232044,7.47728489999999,..,..,..,..,..,..
Chile,CHL,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,..,..,..,672.11029053,713.14837646,750.80285645,795.02722168,815.20770264,839.83605957,950.77801514,1046.22192383,1112.30090332,1164.97583008,1230.44274902,1377.5559082,1510.03894043,1670.55578613,1779.0222168,1884.59069824,1996.57116699,2219.13549805,2265.85986328,2424.14916992,..,..
Chile,CHL,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,..,..,..,..,..,..,..,..,..,95,92,95,94,92,94,90,90,95,97,95,93,95,96,93,..
Chile,CHL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,92.09302425,92.59391052,93.07063436,93.47617698,93.88457656,94.29474878,94.70764542,95.12258641,95.54008597,95.95954891,96.380973,96.80474805,97.23040346,97.65809925,98.08776264,98.38247341,98.57763407,98.77024025,98.77136341,98.77136217,98.77136473,..
Chile,CHL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,12.2,11.9,11.5,10.9,10.3,9.8,9.5,9.3,9.1,9,8.9,8.9,8.8,8.7,8.5,8.4,8.3,8.1,7.9,7.7,7.4,7.2,7,6.8,..
Chile,CHL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.41939833603258,3.43242797175755,3.54617857215168,3.24722092769361,3.08518010181932,3.10435589779484,3.14896563324525,3.41742714255136,3.44318038637897,3.48833505039314,3.91646780338606,4.08480718064214,3.87121211044485,4.08614642223947,4.43726621229803,4.51082647202854,4.7201404591785,4.30148844789357,4.5616548528506,4.73170735993575,4.71239578277393,4.6248722447118,..,..,..
Chile,CHL,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,3.4,3.2,3.2,3.2,3.1,3.1,3.1,3.4,3.6,3.6,3.4,3.2,3.1,3.1,3,3.1,3,3,3.4,..,..
Chile,CHL,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,5.243546,5.3420138,5.4308062,5.5111127,5.58412889999999,5.6510406,5.71304269999999,5.77132749999999,5.827086,5.88150119999999,5.9357772,5.99109509999999,6.04865549999999,6.1096468,6.175252,6.24667119999999,..,..,..,..,..,..
Paraguay,PRY,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,..,..,..,400.48007202,370.83856201,313.53149414,337.44714355,356.27355957,361.48059082,399.55938721,426.4901123,458.42410278,498.03701782,546.65093994,611.54693604,654.3671875,670.86480713,759.10656738,768.63891602,803.8538208,832.11218262,884.37475586,950.14349365,..,..
Paraguay,PRY,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,..,..,..,..,..,..,86,90,92,92,86,87,85,91,91,91,90,93,92,92,91,88,86,79,..
Paraguay,PRY,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,49.50859995,50.52146227,51.51976316,52.40804143,53.27017189,54.12497934,54.97212485,55.81164171,56.64388234,57.46853869,58.28564497,59.0952335,59.8976129,60.68415441,61.46096945,62.23136018,62.99559257,63.75322402,63.95578552,64.01892537,64.08421825,..
Paraguay,PRY,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,36.4,35.5,34.7,33.9,33.1,32.3,31.6,30.8,30,29.3,28.5,27.7,26.9,26.2,25.4,24.6,23.8,23,22.3,21.6,20.9,20.2,19.5,18.9,..
Paraguay,PRY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.82231313684251,0.835969803282797,0.818580669303762,0.661256138692464,0.666858004561898,0.683302367805396,0.699451782474756,0.692777454753082,0.635291835040466,0.647702128724626,0.658505642309738,0.687353485178159,0.708958674360842,0.806655935795309,0.824126248563107,0.806663853205866,0.81409796486261,0.853091829047065,0.95234592552924,1.05490243406565,1.16498215101722,1.21045377784493,..,..,..
Paraguay,PRY,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,10.5,9.3,8.8,9.1,9.5,9.7,9.4,9.6,9.2,8.4,7.8,7.7,7.7,7.4,7.4,7.7,7.8,7.9,9.2,..,..
Paraguay,PRY,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,8.60451409999999,8.5689516,8.5272331,8.49007699999999,8.45232299999999,8.417676,8.37840839999999,8.3446856,8.3110447,8.2732592,8.2407389,8.2123404,8.1830177,8.1562233,8.1227388,8.0900145,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
